PvP Item Item Checklist,,,,,,,,,,,,
,,,,,,,,,,,,
Item Name,In-Game Link,Wowhead,Type,Bind,Effect,Cooldown,Shared CD,Profession,Zone,Location,Faction,Notes
Arcanite Dragonling,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:16022::::::::60:::::\124h[Arcanite Dragonling]\124h\124r"");",/item=16022,Trinket,BoE,Activates your Arcanite Dragonling to fight for you for 1 min.,60 Min,Summon,Engineering (300),Winterspring,Drop: Cobalt Mageweaver,,2% Drop Rate
Barov Peasant Caller,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:14023::::::::60:::::\124h[Barov Peasant Caller]\124h\124r"");",/item=14023,Trinket,BoP,"Calls forth 3 servants fo the House Barov that will fight, cook, and cleanf or you.",10 Min,Summon,,Western Plaguelands,Quest: The Last Barov,,Requires Scholomance Quest Chain starting with Barov Family Fortune.
Defender of the Timbermaw,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cffa335ee\124Hitem:21326::::::::60:::::\124h[Defender of the Timbermaw]\124h\124r"");",/item=21326,Trinket,BoP,Calls forth a Timbermaw Ancestor to fight at your side and heal you.,10 Min,Summon,,Felwood,"Reputation: Exalted (Timermaw Hold); Quest: The Root of All Evil (65,3)",,"Quest requires Exalted (Timbermaw Hold); Given by Gorn One Eye (65,3)"
Mark of Resolution,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:17759::::::::60:::::\124h[Mark of Resolution]\124h\124r"");",/item=17759,Trinket,BoP,Absorbs 350-650 physical damage. Lasts 10 sec.; Equip: Increases your chance to resist Stun and Fear effects by 1%.,30 Min,,,Western Plaguelands,"Quest: Alas, Andorhal",,Requires Quest Chain starting with A Call to Arms: The Plaguelands! In Orgrimmar (H) or Stormwind (A).
Heart of Noxxion,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:17744::::::::60:::::\124h[Heart of Noxxion]\124h\124r"");",/item=17744,Trinket,BoP,Removes 1 poison effect.,5 Min,,,Maraudon,Drop: Noxxion,,36% Drop Rate
Luffa,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:19141::::::::60:::::\124h[Luffa]\124h\124r"");",/item=19141,Trinket,BoP,Removes one Bleed effect.,3 Min,,,Searing Gorge,"Quest: Incendosaurs? Whateverosaur is More Like It (38,28)",,
Carrot on a Stick,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:11122::::::::60:::::\124h[Carrot on a Stick]\124h\124r"");",/item=11122,Trinket,BoP,Equip: Increases mount speed by 3%.,,,,Thousand Needles,Quest: Gahz'rilla,,"Zul'Farrak quest that requires Sacred Mallet dropped by Qiaga the Keeper (49,68) in Hinterlands"
Glimmering Mithril Insignia,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:10418::::::::60:::::\124h[Glimmering Mithril Insignia]\124h\124r"");",/item=10418,Trinket,BoP,"Increases armor by 50, all resistances by 10 and grants immunity to Fear for 30 sec.",10 Min,,Blacksmithing (225),Tanaris,Quest: Did You Lose This?,,Blacksmithing Quest Chain starting with The Old Way (H) or The Origins of Smithing (A)
Major Recombobulator,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:18637::::::::60:::::\124h[Major Recombobulator]\124h\124r"");",/item=18637,Trinket,,Dispels Polymorph effects on a friendly target. Also restores 375-625 health and mana. (10 Charges),5 Min,Healthstone,Engineering (275),Dire Maul,Drop: Gordok Tribute chest,,6% Drop Rate from Tribute runs
Furbolg Medicine Pouch,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:16768::::::::60:::::\124h[Furbolg Medicine Pouch]\124h\124r"");",/item=16768,Off-hand,BoP,Restores 100 health every 1 sec for 10 sec.,20 Min,,,Felwood,"Reputation: Honored (Timbermaw Hold); Gorn One Eye (65,3)",,
Ancient Cornerstone Grimoire,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cffa335ee\124Hitem:17067::::::::60:::::\124h[Ancient Cornerstone Grimoire]\124h\124r"");",/item=17067,Off-hand,BoP,Summons a Skeleton that will protect you for 1 min.,15 Min,Summon,,Onyxia's Lair,Drop: Onyxia,,
Mug of Hurt,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:4090::::::::60:::::\124h[Mug O' Hurt]\124h\124r"");",/item=4090,One-hand,BoE,On Hit: Slows the target's movement by 50% for 10 sec.,,,,,Drop: 43-48 Mobs,,Very rare drop; buy on the AH
Skull of Impending Doom,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:4984::::::::60:::::\124h[Skull of Impending Doom]\124h\124r"");",/item=4984,Off-hand,BoP,"Increase your run speed by 60% for 10sec, but deals 100-500 damage and drains 100-500 mana every 2 sec.",5 Min,,,Badlands,"Quest: Forbidden Knowledge (H: Undercity (54,54); A: Ironforge (51,6))",,"Requires Uldaman Quest chain beginning with Solution to Doom (51,77)"
