PvP Item Checklist: Equipment,
Item Name,Type,Bind,Effect,Cooldown,Shared CD,Profession,Zone,Location,Notes,Wowhead,In-Game Link
Arcanite Dragonling,Trinket,BoE,Activates your Arcanite Dragonling to fight for you for 1 min.,60 Min,Summon,Engineering (300),Winterspring,Drop: Cobalt Mageweaver,2% Drop Rate,/item=16022,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:16022::::::::60:::::\124h[Arcanite Dragonling]\124h\124r"");"
Barov Peasant Caller,Trinket,BoP,"Calls forth 3 servants fo the House Barov that will fight, cook, and cleanf or you.",10 Min,Summon,,Western Plaguelands,Quest: The Last Barov,Requires Scholomance Quest Chain starting with Barov Family Fortune.,/item=14023,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:14023::::::::60:::::\124h[Barov Peasant Caller]\124h\124r"");"
Defender of the Timbermaw,Trinket,BoP,Calls forth a Timbermaw Ancestor to fight at your side and heal you.,10 Min,Summon,,Felwood,"Reputation: Exalted (Timermaw Hold); Quest: The Root of All Evil (65,3)","Quest requires Exalted (Timbermaw Hold); Given by Gorn One Eye (65,3)",/item=21326,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cffa335ee\124Hitem:21326::::::::60:::::\124h[Defender of the Timbermaw]\124h\124r"");"
Mark of Resolution,Trinket,BoP,Absorbs 350-650 physical damage. Lasts 10 sec.; Equip: Increases your chance to resist Stun and Fear effects by 1%.,30 Min,,,Western Plaguelands,"Quest: Alas, Andorhal",Requires Quest Chain starting with A Call to Arms: The Plaguelands! In Orgrimmar (H) or Stormwind (A).,/item=17759,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:17759::::::::60:::::\124h[Mark of Resolution]\124h\124r"");"
Heart of Noxxion,Trinket,BoP,Removes 1 poison effect.,5 Min,,,Maraudon,Drop: Noxxion,36% Drop Rate,/item=17744,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:17744::::::::60:::::\124h[Heart of Noxxion]\124h\124r"");"
Luffa,Trinket,BoP,Removes one Bleed effect.,3 Min,,,Searing Gorge,"Quest: Incendosaurs? Whateverosaur is More Like It (38,28)",,/item=19141,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:19141::::::::60:::::\124h[Luffa]\124h\124r"");"
Carrot on a Stick,Trinket,BoP,Equip: Increases mount speed by 3%.,,,,Thousand Needles,Quest: Gahz'rilla,"Zul'Farrak quest that requires Sacred Mallet dropped by Qiaga the Keeper (49,68) in Hinterlands",/item=11122,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:11122::::::::60:::::\124h[Carrot on a Stick]\124h\124r"");"
Glimmering Mithril Insignia,Trinket,BoP,"Increases armor by 50, all resistances by 10 and grants immunity to Fear for 30 sec.",10 Min,,Blacksmithing (225),Tanaris,Quest: Did You Lose This?,Blacksmithing Quest Chain starting with The Old Way (H) or The Origins of Smithing (A),/item=10418,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:10418::::::::60:::::\124h[Glimmering Mithril Insignia]\124h\124r"");"
Major Recombobulator,Trinket,,Dispels Polymorph effects on a friendly target. Also restores 375-625 health and mana. (10 Charges),5 Min,Healthstone,Engineering (275),Dire Maul,Drop: Gordok Tribute chest,6% Drop Rate from Tribute runs,/item=18637,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:18637::::::::60:::::\124h[Major Recombobulator]\124h\124r"");"
Furbolg Medicine Pouch,Off-hand,BoP,Restores 100 health every 1 sec for 10 sec.,20 Min,,,Felwood,"Reputation: Honored (Timbermaw Hold); Gorn One Eye (65,3)",,/item=16768,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:16768::::::::60:::::\124h[Furbolg Medicine Pouch]\124h\124r"");"
Ancient Cornerstone Grimoire,Off-hand,BoP,Summons a Skeleton that will protect you for 1 min.,15 Min,Summon,,Onyxia's Lair,Drop: Onyxia,,/item=17067,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cffa335ee\124Hitem:17067::::::::60:::::\124h[Ancient Cornerstone Grimoire]\124h\124r"");"
Mug of Hurt,One-hand,BoE,On Hit: Slows the target's movement by 50% for 10 sec.,,,,,Drop: 43-48 Mobs,Very rare drop; buy on the AH,/item=4090,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:4090::::::::60:::::\124h[Mug O' Hurt]\124h\124r"");"
Skull of Impending Doom,Off-hand,BoP,"Increase your run speed by 60% for 10sec, but deals 100-500 damage and drains 100-500 mana every 2 sec.",5 Min,,,Badlands,"Quest: Forbidden Knowledge (H: Undercity (54,54); A: Ironforge (51,6))","Requires Uldaman Quest chain beginning with Solution to Doom (51,77)",/item=4984,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:4984::::::::60:::::\124h[Skull of Impending Doom]\124h\124r"");"
